#,Subject,Updated
1367,Создание репозитория github,22/04/2024 08:57 AM
1376,Заполнение README.md и Wiki,22/04/2024 10:11 AM
1406,Заполнение БД,22/04/2024 07:57 PM
1388,Создание страницы заказов с бэкэндом,23/04/2024 11:03 AM
1457,Дополнение функционала управления заказами,23/04/2024 04:02 PM
1470,Доработка страницы заказов,23/04/2024 06:19 PM
1483,фикс каталога,24/04/2024 09:13 AM
1498,работа над интерфейсом менеджера,24/04/2024 05:57 PM
1508,"тестирование, поиск багов и их фикс",24/04/2024 06:36 PM
1521,фикс добавления ингредиента и удаления продукта,25/04/2024 05:43 AM
1543,синхронизация каталога и заказов,25/04/2024 07:39 PM
